1,0.25435753,0.50433870,1.21463474,30,0.30,1.200,0.20,0.167258
2,0.02740148,0.16553393,0.25288677,30,0.30,1.200,0.20,0.039695
3,0.00814330,0.09024024,0.12938628,30,0.30,1.200,0.20,0.057391
4,0.01682331,0.12970472,0.17370508,30,0.30,1.200,0.20,0.053455
5,0.10306468,0.32103688,0.52774129,30,0.30,1.200,0.20,0.074820
6,0.03629111,0.19050225,0.35575341,30,0.30,1.200,0.20,0.057022
7,0.03899150,0.19746264,0.38468887,30,0.30,1.200,0.20,0.089288
8,86.85317044,9.31950484,14.43197942,30,0.30,1.200,0.20,0.178863
9,0.02647797,0.16272051,0.24929348,30,0.30,1.200,0.20,0.071707
10,0.02363415,0.15373402,0.28323202,30,0.30,1.200,0.20,0.140875
11,0.02704773,0.16446194,0.32943143,30,0.30,1.200,0.20,0.060884
12,0.12343546,0.35133384,0.76324410,30,0.30,1.200,0.20,0.110174
13,0.13993274,0.37407584,0.86342961,30,0.30,1.200,0.20,0.090824
14,0.03867875,0.19666913,0.34769185,30,0.30,1.200,0.20,0.100150
15,0.42933646,0.65523771,1.49528644,30,0.30,1.200,0.20,0.068851
16,0.00618698,0.07865735,0.13883088,30,0.30,1.200,0.20,0.073187
17,73.38726630,8.56663681,18.03178644,30,0.30,1.200,0.20,0.185514
18,0.21362833,0.46219945,0.76298888,30,0.30,1.200,0.20,0.071815
19,0.25683294,0.50678688,0.92251747,30,0.30,1.200,0.20,0.181970
20,0.14363669,0.37899431,0.57220547,30,0.30,1.200,0.20,0.221815
21,5.88688640,2.42629067,4.54963014,30,0.30,1.200,0.20,0.305420
22,0.04226656,0.20558832,0.36474762,30,0.30,1.200,0.20,0.145912
23,0.38876152,0.62350743,0.92199730,30,0.30,1.200,0.20,0.157710
24,0.22098170,0.47008691,0.83569354,30,0.30,1.200,0.20,0.097667
25,0.09178362,0.30295811,0.97949533,30,0.30,1.200,0.20,0.204886
26,0.09368764,0.30608438,0.41646472,30,0.30,1.200,0.20,0.073155
27,0.08701248,0.29497877,0.46213120,30,0.30,1.200,0.20,0.169685
28,0.01900379,0.13785424,0.25031581,30,0.30,1.200,0.20,0.084669
29,0.01132451,0.10641669,0.23933835,30,0.30,1.200,0.20,0.167926
30,0.15494279,0.39362773,0.92396013,30,0.30,1.200,0.20,0.212133
31,0.11454449,0.33844422,0.83619342,30,0.30,1.200,0.20,0.166642
32,0.01209774,0.10998972,0.21298505,30,0.30,1.200,0.20,0.098655
33,0.11564658,0.34006850,0.76279186,30,0.30,1.200,0.20,0.095494
34,0.07332122,0.27077891,0.42542314,30,0.30,1.200,0.20,0.078677
35,0.09033364,0.30055555,0.74385109,30,0.30,1.200,0.20,0.275174
36,13054.01618210,114.25417359,290.56125573,30,0.30,1.200,0.20,0.216769
37,726.77660404,26.95879456,46.85021074,30,0.30,1.200,0.20,0.158084
38,0.03530543,0.18789739,0.35210839,30,0.30,1.200,0.20,0.080161
39,0.47789051,0.69129625,1.39123912,30,0.30,1.200,0.20,0.192472
